"Project","Segment","SRG","S","CBO","DIT","ILCOM","LOC","LOD","NOM"
"CAMEL-JBOSS",1,1,0,0.66666666675,0,0.33333333325,101.33333333,1,1.33333333325
"BPL",1,1,0,1.26315789473684,0,0.421052631578947,461,0.978947368421053,2.05263157894737
"LOOPY",1,1,0,2.27272727272727,0.545454545454545,0.909090909090909,1702,0.524011119636364,5.86363636363636
"T5ONGEA",1,1,0,0,0,0.2,154,0.7133333334,1.4
"JDBM",1,1,0,3.68240343347639,0.424892703862661,0.63519313304721,34550,0.328267418888412,5.14592274678112
"OO-APT",1,1,0,1.5,0,0,52,1,2.5
"BAYES",1,1,0,3.92307692307692,0.0769230769230769,1.15384615384615,5115,0.117201589153846,16.4615384615385
"MIDLET-GAME",2,1,1,0.5,0,1,167,1,5
"DEMO-WIDGET",2,1,1,1.14285714285714,0,0.142857142857143,243,0.775510204142857,2.42857142857143
"KONAMI",2,1,3,0.666666666666667,0.333333333333333,0.333333333333333,69,1,1.66666666666667
"ENUM-BUILD",2,1,3,1.66666666666667,0,0,98,1,4.33333333333333
"SHELLAC",2,1,6,1.78947368421053,0,1.52631578947368,2232,0.856384456631579,8.36842105263158
"REVEG",2,1,6,2,0.357142857142857,0.714285714285714,245,1,1.71428571428571
"MAVEN-PARENT",2,1,6,0,0,0,43,0.25,1.5
"REQUESTS-SPY",3,1,9,1,0,1.75,158,1,3.5
"OSGI-DEMO",3,1,9,2.08571428571429,0.371428571428571,0.885714285714286,1489,0.924761904771429,3.2
"TUMBLR-WALLPAPER",3,1,97,1.6,0,0.8,870,0.454385965,6
"GT5",3,1,24,2.28947368421053,0.236842105263158,0.736842105263158,1194,0.874122807026316,3.02631578947368
"INSTANT-WS-EXAMPLE",3,1,15,0.4,0,0.2,176,0.7,1.8
"bdd_fit_library",3,1,25,0.5,0,0.5,30,1,1
"mylegislator",3,1,25,2.18181818181818,0,0.545454545454545,3095,0.894191919181818,4.09090909090909
"REALLY-SIMPLE-XML",4,1,112,1.75,0.375,0.25,232,1,3.875
"DONUT",4,1,125,2.69444444444444,0.138888888888889,0.777777777777778,2528,0.703326210833333,5.36111111111111
"HADOOP-SCRIPTING",4,1,105,0.75,0,0,152,0.95,1.75
"BEENO",4,1,178,3.84905660377358,0.264150943396226,1.9622641509434,8315,0.827513882,9.13207547169811
"SHOWTIME",4,1,149,1,0,0.666666666666667,325,0.804292929333333,4.5
"DOOGAL",4,1,107,3.1,0.591666666666667,0.825,8126,0.946918678641667,6.04166666666667
"lastweek",4,1,108,2.23584905660377,0.358490566037736,1.5377358490566,6158,0.971698113207547,3.9622641509434
"PGOVM",5,1,210,0.214285714285714,0.0714285714285714,0,2501,0.660714285714286,12.1428571428571
"JTALKER",5,1,211,2.43589743589744,0.256410256410256,0.666666666666667,2699,0.782325082307692,3.17948717948718
"KEYGEN-APP",5,1,237,2.29411764705882,0.705882352941177,0.705882352941177,1345,0.404691876764706,4.23529411764706
"SPACE-INVADERS",5,1,211,2.58823529411765,0.470588235294118,0.823529411764706,1602,0.0616246498235294,4.88235294117647
"QUANTOM-DRIVE",5,1,237,2,0.333333333333333,0,1175,0.0208333333333333,6.75
"ARCADIA",5,1,233,4.17272727272727,0.7,1,8881,0.924600098363636,6.97272727272727
"NACA",5,1,233,7.84041331802526,1.76349024110218,0.835246842709529,229516,0.76178843545752,9
"KEMS",6,1,364,6.96187683284457,0.829912023460411,1.18768328445748,33802,0.575272558941349,4.98240469208211
"SPRING-MVC-TUTORIAL",6,1,343,1.5625,0.1875,0.8125,511,1,3.5
"INICIANDO-COM-VRAPTOR-3",6,1,343,0.75,0,1.5,176,0.76388888875,4.75
"JETIO",6,1,321,2.4,0.5,1.06666666666667,1557,0.5627655678,3.26666666666667
"TAHOEL-AFS-ANDROID",6,1,330,1.58823529411765,0.0294117647058824,0.411764705882353,3523,0.701953680029412,4.23529411764706
"BROWSER-HOOK",6,1,332,1.75,0,1.375,1579,0.80831576525,8.25
"SCREEN-TERM",6,1,333,2.53846153846154,0.490384615384615,0.855769230769231,4349,0.998626373634615,4.375
"BUCKLEY",7,2,386,2.67741935483871,0.0645161290322581,0.725806451612903,2714,0.984677419354839,5.30645161290323
"ENCRYPTION-SERVICE",7,2,438,1.81081081081081,0.459459459459459,0.810810810810811,1112,0.972972972972973,2.62162162162162
"LANCIADELTA",7,2,377,1.4,0.466666666666667,0.466666666666667,859,0.436796536733333,3.2
"OPEN-COMM",7,2,459,3.07022471910112,0.48314606741573,0.525280898876405,45208,0.388653681067416,8.09269662921348
"WROX-PIX-WEB",7,2,496,1.94285714285714,0.142857142857143,1,4023,0.915956856428571,4.57142857142857
"HBQL",7,2,523,6.856,1.16,0.949333333333333,27451,0.996202020202667,6.90133333333333
"KSAT",7,2,528,2.92537313432836,0.0149253731343284,0.91044776119403,7180,0.879832977970149,5.11940298507463
"OLD-SOCKET",8,2,685,2.59183673469388,1.63265306122449,0.693877551020408,2304,0.980320699714286,3.3469387755102
"AIDA",8,2,672,2,0,1.73913043478261,2191,0.914444038478261,7.04347826086957
