Project,Segment,ClassName,CBO,DIT,ILCOM,LOC,LOD,NOM
CAMEL-JBOSS,1,JbossTypeConverter,1,0,0,10,1,0
CAMEL-JBOSS,1,JbossResolverUtil,0,0,1,58,1,3
CAMEL-JBOSS,1,JbossCamelContext,1,0,0,8,1,1
CAMEL-JBOSS,1,S1-camel.jboss,0.6666666667,0,0.3333333333,25.3333333333,1,1.3333333333
BPL,1,BPELScriptSourceViewerConfiguration,3,0,0,86,1,8
BPL,1,BPELScriptWordDetector,0,0,0,8,1,2
BPL,1,BPELScriptNature,1,0,0,4,1,0
BPL,1,BPELScriptTextTools,3,0,0,25,1,2
BPL,1,BPELScriptWhitespaceDetector,0,0,0,5,1,1
BPL,1,BPELScriptContentAssistPreference,1,0,1,15,1,2
BPL,1,BPELScriptSourceParserFactory,1,0,0,11,1,1
BPL,1,BPELScriptUILanguageToolkit,2,0,0,13,1,2
BPL,1,BPELScriptContentDescriber,0,0,0,9,1,1
BPL,1,BPELScriptSourceParser,0,0,0,9,1,1
BPL,1,BPELScriptCorePlugin,1,0,2,59,0.6,4
BPL,1,BPELScriptCodeScanner,3,0,2,55,1,2
BPL,1,BPELScriptPartitionScanner,1,0,0,15,1,0
BPL,1,IBPELScriptColorConstants,0,0,0,7,1,0
BPL,1,BPELScriptLanguageToolkit,1,0,1,26,1,4
BPL,1,BPELScriptSourceElementParser,1,0,0,29,1,2
BPL,1,BPELScriptEditor,4,0,2,39,1,6
BPL,1,IBPELScriptPartitions,0,0,0,12,1,0
BPL,1,BPELScriptUIPreferenceInitializer,2,0,0,34,1,1
LOOPY,1,AbstractFileSystem,2,1,2,76,1,7
LOOPY,1,AbstractBlockFileSystem,3,2,1,112,0.375,7
LOOPY,1,VolumeDescriptor,1,0,0,4,1,2
LOOPY,1,ISO9660VolumeDescriptorSet,7,1,1,352,0.7333333333,29
LOOPY,1,AbstractBlockFileEntry,1,1,0,2,1,0
LOOPY,1,FileSystem,1,0,0,35,0,4
LOOPY,1,EntryEnumeration,3,0,1,65,0.6666666667,2
LOOPY,1,VolumeDescriptorSet,1,0,0,20,0,2
LOOPY,1,FileEntry,0,0,0,40,0,5
LOOPY,1,EntryInputStream,3,0,1,111,0.875,7
LOOPY,1,LoopyException,0,0,0,19,0,0
LOOPY,1,Util,2,0,0,205,0.2941176471,16
LOOPY,1,IsoFileObject,2,0,2,83,0.5555555556,8
LOOPY,1,AbstractFileSystem,1,1,1,79,0.3333333333,5
LOOPY,1,BigEndian,0,0,0,32,0,2
LOOPY,1,ISO9660FileSystem,9,3,0,38,1,6
LOOPY,1,AbstractBlockFileSystem,4,2,1,57,1,6
LOOPY,1,IsoFileProvider,1,0,1,26,0.6666666667,2
LOOPY,1,Constants,0,0,0,22,1,0
LOOPY,1,ISO9660FileEntry,3,1,8,138,0.6,9
LOOPY,1,LittleEndian,0,0,0,54,0,4
LOOPY,1,IsoFileSystem,6,0,1,132,0.4285714286,6
T5ONGEA,1,Index,0,0,0,10,0.5,1
T5ONGEA,1,Contact,0,0,0,4,1,0
T5ONGEA,1,About,0,0,0,4,1,0
T5ONGEA,1,Layout,0,0,1,37,0.6666666667,2
T5ONGEA,1,AppModule,0,0,0,99,0.4,4
JDBM,1,TestPageHeader,4,0,0,30,0,2
JDBM,1,CacheAllEnumeration,1,0,1,32,0.6666666667,2
JDBM,1,BTreeBench,7,0,1,128,0.5555555556,8
JDBM,1,Test,24,0,0,38,1,2
JDBM,1,TestTransactionManager,4,0,0,117,0.5,9
JDBM,1,TestBPage,8,0,0,141,0.4,4
JDBM,1,CacheAll,6,1,3,221,0,12
JDBM,1,Provider,24,1,1,463,0,5
JDBM,1,Serializer,0,0,0,36,0,0
JDBM,1,StringSerializer,1,1,0,17,1,2
JDBM,1,ByteSerializer,1,1,0,24,0.6666666667,2
JDBM,1,Entry,3,1,1,73,0,5
JDBM,1,TestLazyInsert,9,0,1,218,0.4444444444,8
JDBM,1,TestPerformance,5,0,1,419,0.2222222222,8
JDBM,1,DefaultRecordAnalyzer,9,1,0,221,0,3
JDBM,1,IRecordAnalyzer,1,0,0,26,0,1
JDBM,1,TestLocation,2,0,0,41,0.4,4
JDBM,1,Counters,1,0,1,137,0,2
JDBM,1,TestPhysicalRowIdManager,6,0,0,127,0.4285714286,6
JDBM,1,BufferedRecordInstallManager,14,0,1,1022,0,9
JDBM,1,WeakCache,7,1,1,359,0,11
JDBM,1,TestRollback,4,0,0,113,0.3333333333,5
JDBM,1,LongKeyOpenHashMap,11,2,1,865,0.75,15
JDBM,1,DataPage,5,2,1,42,0,3
JDBM,1,TestPageCursor,5,0,0,62,0.3333333333,5
JDBM,1,BTreeKeyCompressionTest,12,0,1,227,1,15
JDBM,1,CacheListener,5,1,0,42,0,1
JDBM,1,LongHashFunction,1,0,0,36,0,1
JDBM,1,Serialization,0,0,0,42,0,2
JDBM,1,TestHashBucket,4,0,0,65,0.4,4
JDBM,1,ShortSerializer,2,1,0,24,0.6666666667,2
JDBM,1,TestLogicalRowIdManager,5,0,0,57,0.3333333333,5
JDBM,1,TestObject,0,0,1,85,0.75,3
JDBM,1,ICacheEntry,2,0,0,60,0,5
JDBM,1,LongKeyMap,2,0,0,175,0,14
JDBM,1,Test,4,0,0,26,0.6666666667,2
JDBM,1,ReverseLongComparator,0,0,0,14,0.5,1
JDBM,1,NoSuchMappingException,0,0,0,34,0,0
JDBM,1,MyNopSerializer,1,1,0,22,0.6666666667,2
JDBM,1,TestHTree,5,0,0,70,0.5,5
JDBM,1,TestThread,2,0,1,179,0.75,3
JDBM,1,Record,3,0,1,66,0,1
JDBM,1,LongCollection,1,0,0,232,0,16
JDBM,1,AbstractLongSet,6,2,0,41,0.6666666667,2
JDBM,1,DefaultLongHashFunction,1,1,0,33,0.5,1
JDBM,1,CacheRecordManager,12,1,1,474,0.0909090909,21
JDBM,1,CompressionProvider,2,0,0,4,1,2
JDBM,1,StringScanner,1,0,1,292,0,5
JDBM,1,Serializer0,7,0,0,153,0.6666666667,2
JDBM,1,Decompressor,2,1,1,14,1,2
JDBM,1,BlockIoComparator,1,0,0,29,0.6666666667,2
JDBM,1,Compressor,2,1,1,14,1,2
JDBM,1,Browser,4,1,1,71,0.6666666667,2
JDBM,1,RemoveResult,0,0,0,15,0,0
JDBM,1,InsertResult,1,0,0,16,0,0
JDBM,1,TestHashDirectory,5,0,0,155,0.4285714286,6
JDBM,1,StringCompressionProvider,1,2,0,12,0,0
JDBM,1,BinaryCompressionProvider,1,2,0,11,0,0
JDBM,1,LeadingValueCompressionProvider,7,1,1,181,0.7142857143,6
JDBM,1,ByteArrayDecompressor,0,0,0,29,0,2
JDBM,1,ByteArrayCompressor,0,0,0,40,0,2
JDBM,1,LeadingValueCompressionProviderTest,4,0,1,137,1,10
JDBM,1,Decompressor,2,1,1,12,1,2
JDBM,1,Compressor,2,1,1,12,1,2
JDBM,1,RecordTypeData,1,0,2,101,0.1666666667,5
JDBM,1,DefaultCompressionProvider,5,1,0,77,0.8,4
JDBM,1,ByteArraySource,0,0,1,24,1,1
JDBM,1,TransactionManager,4,0,1,357,0,17
JDBM,1,IRecordCompressor,0,0,0,28,0,2
JDBM,1,Test,1,0,0,25,0.6666666667,2
JDBM,1,BestCompressionRecordCompressor,1,2,0,16,0,0
JDBM,1,Serializer0,1,0,0,48,1,2
JDBM,1,TestOp,1,0,0,52,0.5,3
JDBM,1,AbstractRecordCompressor,2,1,2,190,0.3333333333,2
JDBM,1,DefaultRecordCompressor,1,1,0,20,0.6666666667,2
JDBM,1,BestSpeedRecordCompressor,1,2,0,16,0,0
JDBM,1,ByteArrayComparator,0,0,0,83,0,2
JDBM,1,TestBTree,12,0,1,1296,0.1111111111,17
JDBM,1,Op,0,0,1,153,0,3
JDBM,1,HashBucket,2,1,1,310,0.0833333333,11
JDBM,1,StringComparator,0,0,0,39,0,1
JDBM,1,CacheEvictionException,0,0,1,28,0.5,1
JDBM,1,TestWeakCache,8,1,0,235,0.25,7
JDBM,1,BTreeStatistics,2,0,2,71,0.2,4
JDBM,1,AllTests,5,0,0,33,0,1
JDBM,1,IntegerComparator,0,0,0,54,0,1
JDBM,1,HTree,3,0,1,135,0,8
JDBM,1,Test,9,0,0,24,0.5,1
JDBM,1,HashNode,0,0,0,14,0,0
JDBM,1,TranslationPageScanner,9,1,1,105,0,1
JDBM,1,TestShortSerializer,1,0,1,48,0,1
JDBM,1,TranslationPageSlot,2,1,2,38,0,2
JDBM,1,PageScanner,0,0,0,13,0,0
JDBM,1,Slot,0,0,0,8,0,0
JDBM,1,ObjectBAComparator,2,0,1,114,0,2
JDBM,1,MyCacheListenerAddsEntry,5,2,1,41,0.5,1
JDBM,1,HDIterator,6,1,1,132,0,2
